"Time","系统使用率","用户使用率","磁盘IO使用率","总使用率"
2025-06-04 13:10:00,0.988,1.52,0.0375,3.15
2025-06-04 13:15:00,0.813,1.70,0.0458,2.88
2025-06-04 13:20:00,1.01,1.55,0.0375,3.41
2025-06-04 13:25:00,2.24,3.60,0.0708,7.97
2025-06-04 13:30:00,2.03,3.37,0.0500,6.80
2025-06-04 13:35:00,3.00,4.04,0.0667,9.18
2025-06-04 13:40:00,3.00,4.58,0.0792,8.83
2025-06-04 13:45:00,2.08,4.10,0.0542,7.21
2025-06-04 13:50:00,2.28,3.19,0.0583,7.17
2025-06-04 13:55:00,1.95,2.88,0.0625,6.67
2025-06-04 14:00:00,1.97,3.28,0.0417,6.53
2025-06-04 14:05:00,1.00,1.53,0.0500,3.06
2025-06-04 14:10:00,1.05,1.37,0.0333,3.05
2025-06-04 14:15:00,0.867,1.43,0.0417,3.04
2025-06-04 14:20:00,1.03,1.44,0.0417,2.93
2025-06-04 14:25:00,0.992,1.44,0.0375,3.13
2025-06-04 14:30:00,0.950,1.57,0.0375,2.98
2025-06-04 14:35:00,0.963,1.60,0.0458,3.10
2025-06-04 14:40:00,0.984,1.27,0.0417,3.06
2025-06-04 14:45:00,0.854,1.58,0.0458,2.94
2025-06-04 14:50:00,0.892,1.39,0.0333,2.99
2025-06-04 14:55:00,0.796,1.67,0.0417,3.04
2025-06-04 15:00:00,0.867,1.43,0.0417,2.99
2025-06-04 15:05:00,1.00,1.48,0.0417,3.20
2025-06-04 15:10:00,0.921,1.91,0.0417,3.19
2025-06-04 15:15:00,0.838,1.43,0.0458,3.06
2025-06-04 15:20:00,0.896,1.66,0.0583,3.06
2025-06-04 15:25:00,0.754,1.36,0.0375,2.83
2025-06-04 15:30:00,1.08,1.67,0.0542,3.20
2025-06-04 15:35:00,1.09,1.49,0.0458,3.11
2025-06-04 15:40:00,0.763,1.23,0.0500,2.90
2025-06-04 15:45:00,0.825,1.62,0.0333,2.94
2025-06-04 15:50:00,0.983,1.35,0.0375,3.14
2025-06-04 15:55:00,0.850,1.34,0.0417,2.98
2025-06-04 16:00:00,0.888,1.27,0.0458,2.93
2025-06-04 16:05:00,0.871,1.35,0.0583,2.82
2025-06-04 16:10:00,0.800,1.72,0.0292,2.78
2025-06-04 16:15:00,0.746,1.33,0.0333,2.74
2025-06-04 16:20:00,0.875,1.60,0.0458,2.76
2025-06-04 16:25:00,0.738,1.24,0.0417,2.72
2025-06-04 16:30:00,0.938,1.42,0.0292,2.89
2025-06-04 16:35:00,0.963,1.60,0.0500,2.87
2025-06-04 16:40:00,1.00,1.47,0.0333,2.99
2025-06-04 16:45:00,0.837,1.95,0.0292,2.80
2025-06-04 16:50:00,0.929,1.54,0.0292,2.97
2025-06-04 16:55:00,0.758,1.23,0.0417,2.85
2025-06-04 17:00:00,0.867,1.50,0.0333,2.99
2025-06-04 17:05:00,0.813,1.61,0.0333,2.87
2025-06-04 17:10:00,0.883,1.20,0.0292,2.92
2025-06-04 17:15:00,0.867,1.76,0.0333,2.91
2025-06-04 17:20:00,0.846,1.33,0.0333,2.80
2025-06-04 17:25:00,0.867,1.46,0.0333,3.01
2025-06-04 17:30:00,0.900,1.53,0.0500,2.80
2025-06-04 17:35:00,0.804,1.40,0.0458,2.92
2025-06-04 17:40:00,0.896,1.38,0.0542,2.92
2025-06-04 17:45:00,1.79,1.53,4.44,8.49
2025-06-04 17:50:00,0.808,1.29,0.0417,2.78
2025-06-04 17:55:00,0.879,1.47,0.0333,2.74
2025-06-04 18:00:00,0.850,1.55,0.0417,2.81
2025-06-04 18:05:00,0.675,1.39,0.0500,2.78
2025-06-04 18:10:00,1.05,1.45,0.0458,2.98
2025-06-04 18:15:00,0.921,1.35,0.308,3.25
2025-06-04 18:20:00,1.07,1.35,0.729,3.70
2025-06-04 18:25:00,1.64,1.75,3.70,7.49
2025-06-04 18:30:00,0.738,1.35,0.0542,2.81
2025-06-04 18:35:00,0.783,1.26,0.0292,2.91
2025-06-04 18:40:00,0.921,1.76,0.0417,2.87
2025-06-04 18:45:00,0.971,1.47,0.0375,2.84
2025-06-04 18:50:00,0.767,1.28,0.0292,2.74
2025-06-04 18:55:00,0.850,1.73,0.0333,2.71
2025-06-04 19:00:00,0.808,1.34,0.0417,2.88
2025-06-04 19:05:00,0.729,1.24,0.0375,2.68
2025-06-04 19:10:00,0.808,1.44,0.0333,2.77
2025-06-04 19:15:00,0.942,1.58,0.0333,2.83
2025-06-04 19:20:00,0.800,1.30,0.0417,2.73
2025-06-04 19:25:00,0.796,1.34,0.0417,2.69
2025-06-04 19:30:00,0.725,1.25,0.0375,2.75
2025-06-04 19:35:00,0.758,1.40,0.0333,2.80
2025-06-04 19:40:00,1.13,1.53,0.0333,3.00
2025-06-04 19:45:00,0.888,1.40,0.0458,2.89
2025-06-04 19:50:00,1.05,1.30,0.0292,2.88
2025-06-04 19:55:00,0.971,1.65,0.0417,2.77
2025-06-04 20:00:00,0.917,1.16,0.0292,2.78
2025-06-04 20:05:00,0.975,1.63,0.0292,2.74
2025-06-04 20:10:00,1.06,1.55,0.0417,3.27
2025-06-04 20:15:00,1.04,2.00,0.0458,3.11
