"Time","总内存","已用","可用","192.168.49.2:9100_已用(total-cache-buf-free)","使用率"
2025-06-04 13:00:00,,,,,69.8
2025-06-04 13:10:00,8187629568,5813006336,2374623232,6777102336,
2025-06-04 13:15:00,8187629568,5826498560,2361131008,6765916160,
2025-06-04 13:20:00,8187629568,5817462784,2370166784,6809694208,
2025-06-04 13:25:00,8187629568,5838757888,2348871680,6816055296,
2025-06-04 13:30:00,8187629568,5853249536,2334380032,6851530752,
2025-06-04 13:35:00,8187629568,5848268800,2339360768,6878507008,
2025-06-04 13:40:00,8187629568,5946929152,2240700416,6891864064,
2025-06-04 13:45:00,8187629568,5913518080,2274111488,6975229952,
2025-06-04 13:50:00,8187629568,5939200000,2248429568,6946988032,72.5
2025-06-04 13:55:00,8187629568,5983428608,2204200960,7022919680,
2025-06-04 14:00:00,8187629568,5933285376,2254344192,7049515008,
2025-06-04 14:05:00,8187629568,5973995520,2213634048,6952120320,
2025-06-04 14:10:00,8187629568,5984501760,2203127808,6940573696,
2025-06-04 14:15:00,8187629568,5925933056,2261696512,7040589824,
2025-06-04 14:20:00,8187629568,6003339264,2184290304,7006306304,
2025-06-04 14:25:00,8187629568,6043557888,2144071680,6999597056,
2025-06-04 14:30:00,8187629568,6030901248,2156728320,7000002560,
2025-06-04 14:35:00,8187629568,6018052096,2169577472,7051001856,
2025-06-04 14:40:00,8187629568,6035046400,2152583168,7044100096,73.7
2025-06-04 14:45:00,8187629568,6020915200,2166714368,7040270336,
2025-06-04 14:50:00,8187629568,6050570240,2137059328,7027433472,
2025-06-04 14:55:00,8187629568,6053994496,2133635072,7027691520,
2025-06-04 15:00:00,8187629568,6043930624,2143698944,7086530560,
2025-06-04 15:05:00,8187629568,6067257344,2120372224,7093587968,
2025-06-04 15:10:00,8187629568,6049837056,2137792512,7094198272,
2025-06-04 15:15:00,8187629568,6054084608,2133544960,7117426688,
2025-06-04 15:20:00,8187629568,6066069504,2121560064,7087394816,
2025-06-04 15:25:00,8187629568,6080901120,2106728448,7095099392,
2025-06-04 15:30:00,8187629568,6107049984,2080579584,7137677312,74.6
2025-06-04 15:35:00,8187629568,6103490560,2084139008,7118753792,
2025-06-04 15:40:00,8187629568,6120660992,2066968576,7117492224,
2025-06-04 15:45:00,8187629568,6086615040,2101014528,7186620416,
2025-06-04 15:50:00,8187629568,6126718976,2060910592,7137222656,
2025-06-04 15:55:00,8187629568,6115495936,2072133632,7170674688,
2025-06-04 16:00:00,8187629568,6129524736,2058104832,7218700288,
2025-06-04 16:05:00,8187629568,6161014784,2026614784,7202201600,
2025-06-04 16:10:00,8187629568,6191726592,1995902976,7205130240,
2025-06-04 16:15:00,8187629568,6190702592,1996926976,7191187456,
2025-06-04 16:20:00,8187629568,6193258496,1994371072,7220436992,75.6
2025-06-04 16:25:00,8187629568,6176026624,2011602944,7258570752,
2025-06-04 16:30:00,8187629568,6165016576,2022612992,7258152960,
2025-06-04 16:35:00,8187629568,6192439296,1995190272,7213547520,
2025-06-04 16:40:00,8187629568,6194049024,1993580544,7218401280,
