"Time","sda_读取","sdb_读取","sdc_读取","sdd_读取","sda_写入","sdb_写入","sdc_写入","sdd_写入"
2025-06-04 13:15:00,,,,0.000333,,,,0.000520
2025-06-04 13:20:00,,,,0.000333,,,,0.000552
2025-06-04 13:25:00,,,,0.000929,,0,,0.000844
2025-06-04 13:30:00,,,,0.00300,,,,0.00129
2025-06-04 13:35:00,,,,0.000889,,0.00100,,0.00103
2025-06-04 13:40:00,,,,0.00111,,,,0.00127
2025-06-04 13:45:00,,0.00200,,,,,,0.00110
2025-06-04 13:50:00,,,,,,0.001000,,0.00100
2025-06-04 13:55:00,,,,0.000714,,,,0.00133
2025-06-04 14:00:00,,,,,,,,0.00127
2025-06-04 14:05:00,,0.00100,,0.00218,,,,0.000686
2025-06-04 14:10:00,,,,,,,,0.000611
2025-06-04 14:15:00,,,,,,0.00200,,0.000918
2025-06-04 14:20:00,,,,,,,,0.00141
2025-06-04 14:25:00,,,,0,,,,0.000699
2025-06-04 14:30:00,,,,0.000833,,,,0.000947
2025-06-04 14:35:00,,,,0.001000,,0.001000,,0.00118
2025-06-04 14:40:00,,,,,,,,0.000878
2025-06-04 14:45:00,,,,,,,,0.00126
2025-06-04 14:50:00,,,,0.00114,,,,0.000739
2025-06-04 14:55:00,,,,,,,,0.00126
2025-06-04 15:00:00,,,,,,,,0.00107
2025-06-04 15:05:00,,,,,,,,0.00126
2025-06-04 15:10:00,,0.00100,,,,,,0.00128
2025-06-04 15:15:00,,,,0.00271,,,,0.000930
2025-06-04 15:20:00,,,,0.000625,,,,0.000832
2025-06-04 15:25:00,,,,0.00200,,,,0.00111
2025-06-04 15:30:00,,,,0.00100,,,,0.00100
2025-06-04 15:35:00,,,,,,,,0.00105
2025-06-04 15:40:00,,,,,,,,0.000934
2025-06-04 15:45:00,,,,0.000571,,0.00300,,0.00103
2025-06-04 15:50:00,,,,,,,,0.00125
2025-06-04 15:55:00,,,,,,,,0.00132
2025-06-04 16:00:00,,,,,,,,0.00127
2025-06-04 16:05:00,,,,0.00267,,,,0.000814
2025-06-04 16:10:00,,,,0.00325,,,,0.000684
2025-06-04 16:15:00,,,,,,,,0.00115
2025-06-04 16:20:00,,,,,,,,0.000897
2025-06-04 16:25:00,,,,,,0.001000,,0.00133
2025-06-04 16:30:00,,,,,,,,0.000815
2025-06-04 16:35:00,,,,0.00150,,,,0.00135
2025-06-04 16:40:00,,,,0.00244,,,,0.000593
2025-06-04 16:45:00,,,,0.00260,,,,0.000746
2025-06-04 16:50:00,,,,,,0.00300,,0.000718
2025-06-04 16:55:00,,,,0.00300,,0.000558,,0.000875
2025-06-04 17:00:00,,,,0.000778,,,,0.000787
2025-06-04 17:05:00,,,,,,,,0.000670
2025-06-04 17:10:00,,,,,,,,0.000586
2025-06-04 17:15:00,,,,,,,,0.000886
2025-06-04 17:20:00,,,,,,,,0.000807
2025-06-04 17:25:00,,,,0.00100,,0.00200,,0.000799
2025-06-04 17:30:00,,,,,,,,0.000922
2025-06-04 17:35:00,,,,0.00300,,,,0.00119
2025-06-04 17:40:00,,,0.001000,,,,,0.000709
2025-06-04 17:45:00,,,,0.000272,,,,0.000423
2025-06-04 17:50:00,,,,0.00275,,,,0.00124
2025-06-04 17:55:00,,,,,,,,0.00110
2025-06-04 18:00:00,,,,,,,,0.000697
2025-06-04 18:05:00,,,,0.000536,,,,0.00116
2025-06-04 18:10:00,,,,0.000570,,,,0.00120
2025-06-04 18:15:00,,,,0.000293,,,,0.00123
2025-06-04 18:20:00,,,,0.000337,,,,0.00135
2025-06-04 18:25:00,,,,0.000281,,,,0.000427
2025-06-04 18:30:00,,,,0.00125,,,,0.000992
2025-06-04 18:35:00,,,,,,,,0.00373
2025-06-04 18:40:00,,,,,,,,0.00104
2025-06-04 18:45:00,,,,,,,,0.00148
2025-06-04 18:50:00,,,,0.000750,,,,0.000616
2025-06-04 18:55:00,,,,,,,,0.000987
2025-06-04 19:00:00,,,,,,0.00233,,0.000733
2025-06-04 19:05:00,,,,0.00214,,,,0.000694
2025-06-04 19:10:00,,,,0.00229,,,,0.000950
2025-06-04 19:15:00,,0,,0.00126,,0.001000,,0.00143
2025-06-04 19:20:00,,,,0.00250,,,,0.00151
2025-06-04 19:25:00,,,,0.00300,,,,0.00136
2025-06-04 19:30:00,,,,,,,,0.00115
2025-06-04 19:35:00,,,,,,,,0.00109
2025-06-04 19:40:00,,0.00300,,,,0.000800,,0.000697
2025-06-04 19:45:00,,,,,,0.00233,,0.000828
2025-06-04 19:50:00,,0.00150,,0.000333,,0.00300,,0.000907
2025-06-04 19:55:00,,,,,,,,0.000733
2025-06-04 20:00:00,,,,,,,,0.000776
2025-06-04 20:05:00,,,,,,,,0.00114
2025-06-04 20:10:00,,,,,,,,0.000773
2025-06-04 20:15:00,,,,,,,,0.00129
2025-06-04 20:20:00,,,,,,,,0.00139
2025-06-04 20:25:00,,,,0.00140,,,,0.00114
2025-06-04 20:30:00,,,,0.001000,,,,0.000812
2025-06-04 20:35:00,,,,0.000625,,,,0.00101
