"Time","sda_读取","sdb_读取","sdc_读取","sdd_读取","sda_写入","sdb_写入","sdc_写入","sdd_写入"
2025-06-04 13:15:00,0,0,0,4916,0,0,0,139838
2025-06-04 13:20:00,0,0,0,14473,0,0,0,146647
2025-06-04 13:25:00,0,0,0,38502,0,273,0,136806
2025-06-04 13:30:00,0,0,0,2185,0,0,0,140921
2025-06-04 13:35:00,0,0,0,36325,0,546,0,157318
2025-06-04 13:40:00,0,0,0,12017,0,0,0,149387
2025-06-04 13:45:00,0,273,0,0,0,0,0,139019
2025-06-04 13:50:00,0,0,0,0,0,1092,0,149660
2025-06-04 13:55:00,0,0,0,32772,0,0,0,148568
2025-06-04 14:00:00,0,0,0,0,0,0,0,146110
2025-06-04 14:05:00,0,273,0,6282,0,0,0,141204
2025-06-04 14:10:00,0,0,0,0,0,0,0,151845
2025-06-04 14:15:00,0,0,0,0,0,819,0,152665
2025-06-04 14:20:00,0,0,0,0,0,0,0,136278
2025-06-04 14:25:00,0,0,0,1365,0,0,0,111692
2025-06-04 14:30:00,0,0,0,17479,0,0,0,138736
2025-06-04 14:35:00,0,0,0,3277,0,273,0,142277
2025-06-04 14:40:00,0,0,0,0,0,0,0,146939
2025-06-04 14:45:00,0,0,0,0,0,0,0,141740
2025-06-04 14:50:00,0,0,0,2458,0,0,0,150207
2025-06-04 14:55:00,0,0,0,0,0,0,0,139273
2025-06-04 15:00:00,0,0,0,0,0,0,0,132182
2025-06-04 15:05:00,0,0,0,0,0,0,0,170132
2025-06-04 15:10:00,0,273,0,0,0,0,0,134631
2025-06-04 15:15:00,0,0,0,6281,0,0,0,159492
2025-06-04 15:20:00,0,0,0,15020,0,0,0,148012
2025-06-04 15:25:00,0,0,0,6008,0,0,0,141458
2025-06-04 15:30:00,0,0,0,273,0,0,0,143916
2025-06-04 15:35:00,0,0,0,0,0,0,0,153737
2025-06-04 15:40:00,0,0,0,0,0,0,0,134085
2025-06-04 15:45:00,0,0,0,9559,0,819,0,150480
2025-06-04 15:50:00,0,0,0,0,0,0,0,130535
2025-06-04 15:55:00,0,0,0,0,0,0,0,148568
2025-06-04 16:00:00,0,0,0,0,0,0,0,133530
2025-06-04 16:05:00,0,0,0,1911,0,0,0,150460
2025-06-04 16:10:00,0,0,0,3004,0,0,0,165774
2025-06-04 16:15:00,0,0,0,0,0,0,0,132182
2025-06-04 16:20:00,0,0,0,0,0,0,0,140102
2025-06-04 16:25:00,0,0,0,0,0,273,0,139829
2025-06-04 16:30:00,0,0,0,0,0,0,0,137353
2025-06-04 16:35:00,0,0,0,3550,0,0,0,153474
2025-06-04 16:40:00,0,0,0,8466,0,0,0,134358
2025-06-04 16:45:00,0,0,0,5461,0,0,0,132693
2025-06-04 16:50:00,0,0,0,0,0,273,0,147203
2025-06-04 16:55:00,0,0,0,3550,0,28128,0,133812
2025-06-04 17:00:00,0,0,0,5462,0,0,0,150753
2025-06-04 17:05:00,0,0,0,0,0,0,0,90385
2025-06-04 17:10:00,0,0,0,0,0,0,0,125627
2025-06-04 17:15:00,0,0,0,0,0,0,0,147193
2025-06-04 17:20:00,0,0,0,0,0,0,0,127266
2025-06-04 17:25:00,0,0,0,8739,0,273,0,165500
2025-06-04 17:30:00,0,0,0,0,0,0,0,152665
2025-06-04 17:35:00,0,0,0,546,0,0,0,134640
2025-06-04 17:40:00,0,0,4370,0,0,0,0,136278
2025-06-04 17:45:00,0,0,0,252030993,0,0,0,146929
2025-06-04 17:50:00,0,0,0,2731,0,0,0,147193
2025-06-04 17:55:00,0,0,0,0,0,0,0,155102
2025-06-04 18:00:00,0,0,0,0,0,0,0,150733
2025-06-04 18:05:00,0,0,0,47517,0,0,0,139819
2025-06-04 18:10:00,0,0,0,246323,0,0,0,129988
2025-06-04 18:15:00,0,0,0,13557298,0,0,0,138727
2025-06-04 18:20:00,0,0,0,34060324,0,0,0,149934
2025-06-04 18:25:00,0,0,0,226110233,0,0,0,182160
2025-06-04 18:30:00,0,0,0,2731,0,0,0,160301
2025-06-04 18:35:00,0,0,0,0,0,0,0,145008
2025-06-04 18:40:00,0,0,0,0,0,0,0,143916
2025-06-04 18:45:00,0,0,0,0,0,0,0,149104
2025-06-04 18:50:00,0,0,0,1912,0,0,0,143096
2025-06-04 18:55:00,0,0,0,0,0,0,0,148022
2025-06-04 19:00:00,0,0,0,0,0,2458,0,148032
2025-06-04 19:05:00,0,0,0,3277,0,0,0,102680
2025-06-04 19:10:00,0,0,0,4916,0,0,0,136552
2025-06-04 19:15:00,0,273,0,33865,0,819,0,165500
2025-06-04 19:20:00,0,0,0,1639,0,0,0,151289
2025-06-04 19:25:00,0,0,0,8739,0,0,0,164124
2025-06-04 19:30:00,0,0,0,0,0,0,0,141449
2025-06-04 19:35:00,0,0,0,0,0,0,0,166866
2025-06-04 19:40:00,0,273,0,0,0,7374,0,153757
2025-06-04 19:45:00,0,0,0,0,0,1092,0,137917
2025-06-04 19:50:00,0,819,0,7647,0,2458,0,149660
2025-06-04 19:55:00,0,0,0,0,0,0,0,148295
2025-06-04 20:00:00,0,0,0,0,0,0,0,146373
2025-06-04 20:05:00,0,0,0,0,0,0,0,156488
2025-06-04 20:10:00,0,0,0,0,0,0,0,148012
2025-06-04 20:15:00,0,0,0,0,0,0,0,150470
2025-06-04 20:20:00,0,0,0,0,0,0,0,141740
2025-06-04 20:25:00,0,0,0,3004,0,0,0,150753
2025-06-04 20:30:00,0,0,0,819,0,0,0,161666
2025-06-04 20:35:00,0,0,0,21301,0,0,0,140366
2025-06-04 20:40:00,0,0,0,7647,0,0,0,147749
2025-06-04 20:45:00,0,0,0,4369,0,1365,0,149104
2025-06-04 20:50:00,0,0,0,2185,0,0,0,154849
2025-06-04 20:55:00,0,0,0,8193,0,0,0,149934
2025-06-04 21:00:00,0,0,0,0,0,0,0,143379
2025-06-04 21:05:00,0,0,0,7920,0,0,0,149660
2025-06-04 21:10:00,0,0,0,546,0,0,0,147729
2025-06-04 21:15:00,0,0,0,14474,0,0,0,147203
2025-06-04 21:20:00,0,0,0,0,0,0,0,143916
2025-06-04 21:25:00,0,0,0,0,0,0,0,157024
2025-06-04 21:30:00,0,0,0,0,0,0,0,134904
2025-06-04 21:35:00,0,0,0,17205,0,0,0,148295
2025-06-04 21:40:00,0,0,0,0,0,0,0,139556
2025-06-04 21:45:00,0,0,0,273,0,1639,0,111972
2025-06-04 21:50:00,0,0,0,22394,0,1092,0,140375
2025-06-04 21:55:00,0,0,0,10923,0,1365,0,148012
2025-06-04 22:00:00,0,273,0,8193,0,0,0,149387
2025-06-04 22:05:00,0,0,0,12017,0,0,0,152392
2025-06-04 22:10:00,0,0,0,6827,0,0,0,151016
2025-06-04 22:15:00,0,0,0,25672,0,0,0,158673
2025-06-04 22:20:00,0,0,0,50794,0,273,0,134631
2025-06-04 22:25:00,0,0,0,1639,0,819,0,99956
2025-06-04 22:30:00,0,0,0,7647,0,0,0,154849
2025-06-04 22:35:00,0,0,0,31953,0,1366,0,139829
2025-06-04 22:40:00,0,0,0,0,0,0,0,146920
2025-06-04 22:45:00,0,0,0,15293,0,0,0,167947
2025-06-04 22:50:00,0,0,0,13107,0,0,0,145545
2025-06-04 22:55:00,0,0,0,223699279,0,0,0,151845
2025-06-04 23:00:00,0,6007,0,7646,0,0,0,139264
2025-06-04 23:05:00,0,273,0,6007,0,0,0,157833
2025-06-04 23:10:00,0,0,0,0,0,0,0,92570
2025-06-04 23:15:00,0,0,0,8739,0,0,0,142550
2025-06-04 23:20:00,0,273,0,2185,0,0,0,161950
2025-06-04 23:25:00,0,0,0,19116,0,0,0,154020
2025-06-04 23:30:00,0,0,0,0,0,0,0,152654
2025-06-04 23:35:00,0,0,0,8739,0,0,0,161939
2025-06-04 23:40:00,0,273,0,54074,0,0,0,145837
2025-06-04 23:45:00,0,0,0,273,0,0,0,143379
2025-06-04 23:50:00,0,0,0,13655,0,819,0,157854
2025-06-04 23:55:00,0,0,0,4643,0,1366,0,141740
2025-06-05 00:00:00,0,0,0,7646,0,0,0,157024
2025-06-05 00:05:00,0,0,0,1365,0,0,0,136542
2025-06-05 00:10:00,0,0,0,2458,0,0,0,152381
2025-06-05 00:15:00,0,0,0,7920,0,0,0,143379
2025-06-05 00:20:00,0,0,0,2185,0,4096,0,149924
2025-06-05 00:25:00,0,0,0,0,0,0,0,141477
2025-06-05 00:30:00,0,0,0,9012,0,0,0,125892
2025-06-05 00:35:00,0,0,0,0,0,0,0,126174
2025-06-05 00:40:00,0,0,0,8739,0,0,0,137644
2025-06-05 00:45:00,0,0,0,0,0,1639,0,133812
2025-06-05 00:50:00,0,273,0,108688,0,2185,0,128896
2025-06-05 00:55:00,0,0,0,1366,0,0,0,150480
2025-06-05 01:00:00,0,0,0,7646,0,0,0,132446
2025-06-05 01:05:00,0,0,0,819,0,0,0,127531
2025-06-05 01:10:00,0,0,0,0,0,0,0,122615
2025-06-05 01:15:00,0,0,0,0,0,4642,0,142823
2025-06-05 01:20:00,0,0,0,0,0,0,0,134631
2025-06-05 01:25:00,0,0,0,0,0,0,0,126993
2025-06-05 01:30:00,0,0,0,9831,0,0,0,148012
2025-06-05 01:35:00,0,0,0,35228,0,231030,0,142823
2025-06-05 01:40:00,0,0,0,8739,0,2185,0,143096
2025-06-05 01:45:00,0,0,0,0,0,1639,0,135450
2025-06-05 01:50:00,0,0,0,9011,0,0,0,135987
2025-06-05 01:55:00,0,0,0,3004,0,1242073,0,132455
2025-06-05 02:00:00,0,0,0,5189,0,0,0,135732
2025-06-05 02:05:00,0,0,0,7100,0,0,0,130261
2025-06-05 02:10:00,,,,,,,,
2025-06-05 02:15:00,,,,,,,,
