"Time","1分钟负载","5分钟负载","15分钟负载","CPU总核数"
2025-06-04 13:15:00,0.470,0.460,0.580,16
2025-06-04 13:20:00,0.420,0.450,0.540,16
2025-06-04 13:25:00,1.01,0.650,0.590,16
2025-06-04 13:30:00,0.640,0.750,0.660,16
2025-06-04 13:35:00,1.47,1.25,0.910,16
2025-06-04 13:40:00,2.50,3.25,1.98,16
2025-06-04 13:45:00,1.21,2,1.80,16
2025-06-04 13:50:00,0.660,1.34,1.56,16
2025-06-04 13:55:00,0.910,1.28,1.48,16
2025-06-04 14:00:00,0.730,0.960,1.29,16
2025-06-04 14:05:00,0.860,0.940,1.18,16
2025-06-04 14:10:00,0.640,0.640,0.970,16
2025-06-04 14:15:00,0.290,0.440,0.790,16
2025-06-04 14:20:00,2.14,1.22,0.990,16
2025-06-04 14:25:00,0.430,0.810,0.880,16
2025-06-04 14:30:00,0.460,0.590,0.760,16
2025-06-04 14:35:00,0.590,0.560,0.680,16
2025-06-04 14:40:00,0.240,0.410,0.580,16
2025-06-04 14:45:00,1.29,1.02,0.770,16
2025-06-04 14:50:00,0.420,0.620,0.660,16
2025-06-04 14:55:00,0.390,0.530,0.610,16
2025-06-04 15:00:00,1.42,0.860,0.700,16
2025-06-04 15:05:00,0.180,0.570,0.630,16
2025-06-04 15:10:00,0.690,0.740,0.690,16
2025-06-04 15:15:00,0.610,0.720,0.700,16
2025-06-04 15:20:00,0.520,0.610,0.650,16
2025-06-04 15:25:00,0.320,0.490,0.590,16
2025-06-04 15:30:00,0.320,0.390,0.510,16
2025-06-04 15:35:00,0.690,0.910,0.730,16
2025-06-04 15:40:00,0.470,0.590,0.630,16
2025-06-04 15:45:00,0.670,0.830,0.730,16
2025-06-04 15:50:00,0.810,0.710,0.690,16
2025-06-04 15:55:00,0.610,0.550,0.620,16
2025-06-04 16:00:00,0.290,0.430,0.550,16
2025-06-04 16:05:00,0.600,0.440,0.510,16
2025-06-04 16:10:00,0.330,0.440,0.500,16
2025-06-04 16:15:00,0.150,0.320,0.430,16
2025-06-04 16:20:00,0.360,0.350,0.400,16
2025-06-04 16:25:00,0.780,0.620,0.490,16
2025-06-04 16:30:00,0.280,0.430,0.440,16
2025-06-04 16:35:00,0.630,0.610,0.520,16
2025-06-04 16:40:00,0.350,0.500,0.500,16
2025-06-04 16:45:00,0.420,0.400,0.450,16
2025-06-04 16:50:00,0.360,0.410,0.450,16
2025-06-04 16:55:00,0.360,0.410,0.440,16
2025-06-04 17:00:00,0.520,0.470,0.460,16
2025-06-04 17:05:00,1.06,0.580,0.480,16
2025-06-04 17:10:00,0.460,0.630,0.540,16
2025-06-04 17:15:00,0.400,0.470,0.490,16
2025-06-04 17:20:00,0.240,0.430,0.470,16
2025-06-04 17:25:00,0.310,0.460,0.470,16
2025-06-04 17:30:00,1.08,0.630,0.530,16
2025-06-04 17:35:00,4.91,1.36,0.760,16
2025-06-04 17:40:00,0.300,0.680,0.620,16
2025-06-04 17:45:00,1.29,0.900,0.720,16
2025-06-04 17:50:00,0.470,0.810,0.750,16
2025-06-04 17:55:00,0.380,0.480,0.620,16
2025-06-04 18:00:00,0.390,0.470,0.570,16
2025-06-04 18:05:00,0.480,0.430,0.520,16
2025-06-04 18:10:00,0.380,0.520,0.530,16
2025-06-04 18:15:00,0.150,0.350,0.460,16
2025-06-04 18:20:00,0.580,0.480,0.470,16
2025-06-04 18:25:00,0.820,0.730,0.590,16
2025-06-04 18:30:00,1.69,1.24,0.820,16
2025-06-04 18:35:00,0.120,0.680,0.710,16
2025-06-04 18:40:00,0.550,0.540,0.640,16
2025-06-04 18:45:00,0.320,0.430,0.560,16
2025-06-04 18:50:00,0.470,0.530,0.570,16
2025-06-04 18:55:00,0.460,0.410,0.500,16
2025-06-04 19:00:00,0.450,0.520,0.520,16
2025-06-04 19:05:00,0.310,0.380,0.450,16
2025-06-04 19:10:00,1.05,0.640,0.520,16
2025-06-04 19:15:00,1.45,1.22,0.790,16
2025-06-04 19:20:00,0.570,0.800,0.720,16
2025-06-04 19:25:00,0.340,0.520,0.620,16
2025-06-04 19:30:00,0.390,0.450,0.560,16
2025-06-04 19:35:00,0.680,0.530,0.560,16
2025-06-04 19:40:00,1.01,0.850,0.680,16
2025-06-04 19:45:00,0.350,0.680,0.670,16
2025-06-04 19:50:00,1.30,0.710,0.660,16
2025-06-04 19:55:00,0.770,1.06,0.860,16
2025-06-04 20:00:00,0.410,0.620,0.710,16
