"Time","CurrEstab","TCP_tw","Sockets_used","UDP_inuse","TCP_alloc","Tcp_InSegs","Tcp_OutSegs","Tcp_RetransSegs"
2025-06-04 13:00:00,,,728,,,,,
2025-06-04 13:16:00,194,185,,1,1262,266,285,0
2025-06-04 13:18:00,192,172,,1,1306,264,283,0
2025-06-04 13:20:00,198,189,,1,1366,282,302,0
2025-06-04 13:22:00,192,185,,1,1404,270,288,0.0667
2025-06-04 13:24:00,206,162,,1,1479,332,840,0
2025-06-04 13:26:00,203,202,,1,1522,278,300,0
2025-06-04 13:28:00,208,172,,1,1581,278,298,0.0667
2025-06-04 13:30:00,207,182,756,1,1627,296,317,0.0667
2025-06-04 13:32:00,203,182,,1,1668,271,289,0
2025-06-04 13:34:00,203,180,,1,1714,276,295,0
2025-06-04 13:36:00,204,174,,1,1762,269,288,0
2025-06-04 13:38:00,203,190,,1,1810,277,296,0
2025-06-04 13:40:00,209,179,,1,1866,280,304,0
2025-06-04 13:42:00,209,182,,1,1927,311,347,0.0667
2025-06-04 13:44:00,203,188,,1,1955,312,337,0
2025-06-04 13:46:00,203,172,,1,2003,273,292,0
2025-06-04 13:48:00,204,176,,1,2053,280,300,0
2025-06-04 13:50:00,208,180,,1,2109,279,297,0
2025-06-04 13:52:00,208,178,,1,2160,276,294,0
2025-06-04 13:54:00,207,195,,1,2202,283,303,0.133
2025-06-04 13:56:00,206,188,,1,2250,285,305,0
2025-06-04 13:58:00,204,182,,1,2294,275,294,0
2025-06-04 14:00:00,204,178,751,1,2340,280,300,0
2025-06-04 14:02:00,203,173,,1,2388,287,305,0
2025-06-04 14:04:00,210,173,,1,2449,272,291,0
2025-06-04 14:06:00,210,173,,1,2491,268,286,0
2025-06-04 14:08:00,203,167,,1,2537,277,297,0.400
2025-06-04 14:10:00,204,164,,1,2579,272,290,0
2025-06-04 14:12:00,200,181,,1,2622,261,280,0
2025-06-04 14:14:00,200,173,,1,2669,282,301,0
2025-06-04 14:16:00,199,179,,1,2716,273,291,0
2025-06-04 14:18:00,199,160,,1,2764,283,300,0
2025-06-04 14:20:00,200,176,,1,2810,271,289,0
2025-06-04 14:22:00,200,176,,1,2860,261,280,0
2025-06-04 14:24:00,199,172,,1,2906,274,291,0
2025-06-04 14:26:00,199,174,,1,2954,284,302,0
2025-06-04 14:28:00,199,165,,1,3002,262,281,0
2025-06-04 14:30:00,200,174,747,1,3050,261,280,0
2025-06-04 14:32:00,199,179,,1,3100,279,297,0
2025-06-04 14:34:00,199,166,,1,3146,271,289,0
2025-06-04 14:36:00,200,159,,1,3193,265,283,0
2025-06-04 14:38:00,199,170,,1,3240,276,294,0
2025-06-04 14:40:00,199,159,,1,3288,267,287,0
2025-06-04 14:42:00,200,163,,1,3338,270,288,0
2025-06-04 14:44:00,200,172,,1,3384,278,296,0
2025-06-04 14:46:00,199,158,,1,3432,269,286,0
2025-06-04 14:48:00,199,173,,1,3482,270,288,0
2025-06-04 14:50:00,199,164,,1,3530,280,298,0
2025-06-04 14:52:00,199,164,,1,3578,275,293,0
2025-06-04 14:54:00,200,168,,1,3624,266,284,0
2025-06-04 14:56:00,200,173,,1,3672,282,300,0
2025-06-04 14:58:00,199,182,,1,3722,271,290,0
2025-06-04 15:00:00,199,167,747,1,3768,273,292,0
2025-06-04 15:02:00,199,175,,1,3818,275,294,0
2025-06-04 15:04:00,198,172,,1,3862,267,285,0
2025-06-04 15:06:00,198,184,,1,3910,281,300,0
2025-06-04 15:08:00,199,170,,1,3958,287,306,0
2025-06-04 15:10:00,198,172,,1,4006,274,294,0
2025-06-04 15:12:00,198,175,,1,4058,270,288,0
2025-06-04 15:14:00,199,180,,1,4104,278,297,0
2025-06-04 15:16:00,198,173,,1,4150,271,289,0
2025-06-04 15:18:00,198,171,,1,4198,266,284,0
2025-06-04 15:20:00,198,179,,1,4246,285,304,0
2025-06-04 15:22:00,198,164,,1,4297,279,298,0
2025-06-04 15:24:00,196,184,,1,4338,261,280,0
2025-06-04 15:26:00,196,168,,1,4388,283,300,0
2025-06-04 15:28:00,198,161,,1,4438,271,288,0
2025-06-04 15:30:00,198,173,746,1,4486,277,297,0
2025-06-04 15:32:00,198,177,,1,4536,274,292,0
2025-06-04 15:34:00,198,165,,1,4584,266,284,0
2025-06-04 15:36:00,198,165,,1,4632,273,291,0
2025-06-04 15:38:00,199,159,,1,4678,281,300,0
2025-06-04 15:40:00,198,154,,1,4726,269,287,0
2025-06-04 15:42:00,198,164,,1,4774,266,285,0
2025-06-04 15:44:00,198,153,,1,4822,289,307,0
2025-06-04 15:46:00,198,165,,1,4870,271,289,0
2025-06-04 15:48:00,198,175,,1,4920,269,287,0
2025-06-04 15:50:00,198,167,,1,4966,278,296,0
2025-06-04 15:52:00,198,175,,1,5016,273,291,0
2025-06-04 15:54:00,198,157,,1,5062,275,292,0
2025-06-04 15:56:00,198,168,,1,5112,297,316,0
2025-06-04 15:58:00,198,165,,1,5158,267,284,0
2025-06-04 16:00:00,199,166,746,1,5206,275,294,0
2025-06-04 16:02:00,196,187,,1,5252,284,303,0
2025-06-04 16:04:00,198,171,,1,5302,270,288,0
2025-06-04 16:06:00,198,185,,1,5352,269,287,0
2025-06-04 16:08:00,198,161,,1,5400,282,300,0
2025-06-04 16:10:00,198,178,,1,5446,274,292,0
2025-06-04 16:12:00,198,158,,1,5496,270,289,0
2025-06-04 16:14:00,199,175,,1,5542,280,299,0
2025-06-04 16:16:00,198,170,,1,5590,273,291,0
2025-06-04 16:18:00,198,172,,1,5640,268,285,0
2025-06-04 16:20:00,199,176,,1,5688,277,296,0
2025-06-04 16:22:00,199,167,,1,5736,271,290,0
2025-06-04 16:24:00,198,183,,1,5783,265,284,0
