Time,system_cpu_usage,user_cpu_usage,disk_io_usage,total_cpu_usage,sdd_read1,sdd_write1,sda_read,sdb_read,sdc_read,sdd_read,sda_write,sdb_write,sdc_write,sdd_write,eth0_in_download,eth0_out_upload,total_memory,used_memory,available_memory,192.168.49.2:9100_used_total-cache-buf-free,load_1min,load_5min,load_15min
2025/6/4 13:15,0.813,1.7,0.0458,2.88,0.000333,0.00052,0,0,0,4916,0,0,0,139838,70.4,70.4,8187629568,5826498560,2361131008,6765916160,0.47,0.46,0.58
2025/6/4 13:20,1.01,1.55,0.0375,3.41,0.000333,0.000552,0,0,0,14473,0,0,0,146647,4186,22931,8187629568,5817462784,2370166784,6809694208,0.42,0.45,0.54
2025/6/4 13:25,2.24,3.6,0.0708,7.97,0.000929,0.000844,0,0,0,38502,0,273,0,136806,9763,280955,8187629568,5838757888,2348871680,6816055296,1.01,0.65,0.59
2025/6/4 13:30,2.03,3.37,0.05,6.8,0.003,0.00129,0,0,0,2185,0,0,0,140921,28643,19309,8187629568,5853249536,2334380032,6851530752,0.64,0.75,0.66
2025/6/4 13:35,3,4.04,0.0667,9.18,0.000889,0.00103,0,0,0,36325,0,546,0,157318,234,234,8187629568,5848268800,2339360768,6878507008,1.47,1.25,0.91
2025/6/4 13:40,3,4.58,0.0792,8.83,0.00111,0.00127,0,0,0,12017,0,0,0,149387,13630,109585,8187629568,5946929152,2240700416,6891864064,2.5,3.25,1.98
2025/6/4 13:45,2.08,4.1,0.0542,7.21,,0.0011,0,273,0,0,0,0,0,139019,20501,14048,8187629568,5913518080,2274111488,6975229952,1.21,2,1.8
2025/6/4 13:50,2.28,3.19,0.0583,7.17,,0.001,0,0,0,0,0,1092,0,149660,211,211,8187629568,5939200000,2248429568,6946988032,0.66,1.34,1.56
2025/6/4 13:55,1.95,2.88,0.0625,6.67,0.000714,0.00133,0,0,0,32772,0,0,0,148568,20465,14268,8187629568,5983428608,2204200960,7022919680,0.91,1.28,1.48
2025/6/4 14:00,1.97,3.28,0.0417,6.53,,0.00127,0,0,0,0,0,0,0,146110,20471,14426,8187629568,5933285376,2254344192,7049515008,0.73,0.96,1.29
2025/6/4 14:05,1,1.53,0.05,3.06,0.00218,0.000686,0,273,0,6282,0,0,0,141204,211,211,8187629568,5973995520,2213634048,6952120320,0.86,0.94,1.18
2025/6/4 14:10,1.05,1.37,0.0333,3.05,,0.000611,0,0,0,0,0,0,0,151845,198,198,8187629568,5984501760,2203127808,6940573696,0.64,0.64,0.97
2025/6/4 14:15,0.867,1.43,0.0417,3.04,,0.000918,0,0,0,0,0,819,0,152665,256,256,8187629568,5925933056,2261696512,7040589824,0.29,0.44,0.79
